Date,Open,High,Low,Close,Volume
2017-06-27,145.01,146.16,143.62,143.73,24761891.0
2017-06-26,147.17,148.28,145.38,145.82,25692361.0
2017-06-23,145.13,147.16,145.11,146.28,35439389.0
2017-06-22,145.77,146.7,145.12,145.63,19106294.0
2017-06-21,145.52,146.07,144.61,145.87,21265751.0
2017-06-20,146.87,146.87,144.94,145.01,24900073.0
2017-06-19,143.66,146.74,143.66,146.34,32541404.0
2017-06-16,143.78,144.5,142.2,142.27,50361093.0
2017-06-15,143.32,144.48,142.21,144.29,32165373.0
2017-06-14,147.5,147.5,143.84,145.16,31531232.0
2017-06-13,147.16,147.45,145.15,146.59,34165445.0
2017-06-12,145.74,146.09,142.51,145.42,72307330.0
2017-06-09,155.19,155.19,146.02,148.98,64882657.0
2017-06-08,155.25,155.54,154.4,154.99,21250798.0
2017-06-07,155.02,155.98,154.48,155.37,21069647.0
2017-06-06,153.9,155.81,153.78,154.45,26624926.0
2017-06-05,154.34,154.45,153.46,153.93,25331662.0
2017-06-02,153.58,155.45,152.89,155.45,27770715.0
2017-06-01,153.17,153.33,152.22,153.18,16404088.0
2017-05-31,153.97,154.17,152.38,152.76,24451164.0
2017-05-30,153.42,154.43,153.33,153.67,20126851.0
2017-05-29,153.61,153.61,153.61,153.61,0.0
